movie,budge,gross,comment_count,view_count,like_count,year
On the Basis of Sex,20000000,38803610,2251,8111048,28827,2018
Destroyer,9000000,3681096,95,129496,661,2018
Vice,60000000,70883171,1631,2453119,13255,2018
Aquaman,160000000,1146894640,94633,59057688,648092,2018
Welcome to Marwen,45000000,12919471,9197,4773419,69748,2018
Second Act,15700000,63288854,570,5927332,12798,2018
Bumblebee,102000000,465195589,23010,20725596,168304,2018
Mary Poppins Returns,130000000,340246439,20728,15694742,178817,2018
Spider-Man: Into The Spider-Verse 3D,90000000,375380731,41229,30974356,421167,2018
If Beale Street Could Talk,12000000,19859167,745,878540,9585,2018
The Mule,50000000,170770783,6621,14909536,81644,2018
Mortal Engines,100000000,85287417,12393,24042122,112162,2018
That Way Madness Lies,650000,1447,2,5627,7,2018
Bird Box,19800000,0,15783,20060237,160915,2018
Mary Queen of Scots,25000000,46784211,4133,6409774,20382,2018
Ben is Back,13000000,9633359,250,760528,3026,2018
The Possession of Hannah Grace,6000000,42785387,3939,10477468,50327,2018
Werk ohne Autor,1400000,4794349,172,485613,3572,2018
The Favourite,15000000,94075194,1957,9458033,31916,2018
Robin Hood,99000000,84747441,5525,14322651,50875,2018
Robin Hood,210000000,322459006,5525,14322651,50875,2018
Ralph Breaks The Internet,175000000,523480372,14941,8236195,86532,2018
Creed II,50000000,213591522,10389,17766184,146412,2018
Green Book,23000000,322987195,4171,10954836,45452,2018
Instant Family,48000000,119736188,2254,15916920,48260,2018
Fantastic Beasts: The Crimes of Grindelwald,200000000,652220086,10753,12519546,145544,2018
Widows,40000000,73866088,2679,9654524,26642,2018
Bohemian Rhapsody,55000000,893919815,18757,34007096,304198,2018
The Nutcracker and the Four Realms,132900000,170293899,5175,4748239,34815,2018
Air Strike,65000000,516279,171,229524,423,2018
London Fields,8000000,433732,757,2229261,9557,2018
Suspiria,20000000,7023292,3020,10866083,30108,2018
Indivisible,2700000,3588305,245,926728,5598,2018
Can You Ever Forgive Me?,10000000,11752387,445,4540140,7437,2018
